시군구별,연도,월,남자,여자,전체,성비
강원특별자치도,2022,05,307.0,270.0,577.0,1.137037037037037
강원특별자치도,2022,06,311.0,302.0,613.0,1.0298013245033113
강원특별자치도,2022,07,317.0,274.0,591.0,1.1569343065693432
강원특별자치도,2022,08,327.0,305.0,632.0,1.0721311475409836
강원특별자치도,2022,09,333.0,317.0,650.0,1.0504731861198737
강원특별자치도,2022,10,312.0,301.0,613.0,1.0365448504983388
강원특별자치도,2022,11,309.0,268.0,577.0,1.1529850746268657
강원특별자치도,2022,12,253.0,270.0,523.0,0.937037037037037
강원특별자치도,2023,01,331.0,339.0,670.0,0.976401179941003
강원특별자치도,2023,02,328.0,275.0,603.0,1.1927272727272726
강원특별자치도,2023,03,333.0,309.0,642.0,1.0776699029126213
강원특별자치도,2023,04,290.0,258.0,548.0,1.124031007751938
강원특별자치도,2023,05,281.0,262.0,543.0,1.0725190839694656
강원특별자치도,2023,06,280.0,283.0,563.0,0.9893992932862191
강원특별자치도,2023,07,256.0,285.0,541.0,0.8982456140350877
강원특별자치도,2023,08,277.0,277.0,554.0,1.0
강원특별자치도,2023,09,267.0,289.0,556.0,0.9238754325259516
강원특별자치도,2023,10,265.0,270.0,535.0,0.9814814814814815
강원특별자치도,2023,11,249.0,232.0,481.0,1.0732758620689655
강원특별자치도,2023,12,215.0,237.0,452.0,0.9071729957805907
강원특별자치도,2024,01,305.0,313.0,618.0,0.9744408945686901
강원특별자치도,2024,02,279.0,297.0,576.0,0.9393939393939394
강원특별자치도,2024,03,327.0,270.0,597.0,1.211111111111111
강원특별자치도,2024,04,259.0,267.0,526.0,0.9700374531835206
강원특별자치도,2024,05,271.0,261.0,532.0,1.0383141762452108
강원특별자치도,2024,06,229.0,263.0,492.0,0.870722433460076
강원특별자치도,2024,07,282.0,260.0,542.0,1.0846153846153845
강원특별자치도,2024,08,274.0,247.0,521.0,1.1093117408906883
강원특별자치도,2024,09,278.0,279.0,557.0,0.996415770609319
강원특별자치도,2024,10,298.0,271.0,569.0,1.099630996309963
강원특별자치도,2024,11,245.0,280.0,525.0,0.875
강원특별자치도,2024,12,266.0,271.0,537.0,0.981549815498155
경기도,1997,01,7086.0,6354.0,13440.0,1.1152030217186024
경기도,1997,02,6410.0,5924.0,12334.0,1.0820391627278865
